"id_op_ob","data_emissao_op","numero_ordem_pagamento","vinculacao_op","situacao_op","descricao_situacao_op","data_situacao_op","data_emissao_ob","numero_ordem_bancaria","numero_ordem_lancamento","data_assinatura_ordenador_despesa_ob","data_assinatura_gestor_financeiro_ob","id_dh"
40050,"2025-09-09","2025OP001281",405,5,"OB Enviada à instituição bancária para pagamento","2025-09-09","2025-09-09","2025OB001281","2025NS013449","2025-09-09","2025-09-09",60879
41307,"2025-09-09","2025OP002538",405,5,"OB Enviada à instituição bancária para pagamento","2025-09-09","2025-09-09","2025OB002538","2025NS014706","2025-09-09","2025-09-09",60885
40531,"2025-09-09","2025OP001762",405,5,"OB Enviada à instituição bancária para pagamento","2025-09-09","2025-09-09","2025OB001762","2025NS013930","2025-09-09","2025-09-09",60891
40127,"2025-09-09","2025OP001358",405,5,"OB Enviada à instituição bancária para pagamento","2025-09-09","2025-09-09","2025OB001358","2025NS013526","2025-09-09","2025-09-09",60880
40268,"2025-09-09","2025OP001499",405,5,"OB Enviada à instituição bancária para pagamento","2025-09-09","2025-09-09","2025OB001499","2025NS013667","2025-09-09","2025-09-09",60887
39850,"2025-09-09","2025OP001081",405,5,"OB Enviada à instituição bancária para pagamento","2025-09-09","2025-09-09","2025OB001081","2025NS013249","2025-09-09","2025-09-09",60888
40482,"2025-09-09","2025OP001713",405,5,"OB Enviada à instituição bancária para pagamento","2025-09-09","2025-09-09","2025OB001727","2025NS013881","2025-09-09","2025-09-09",60666
40807,"2025-09-09","2025OP002038",405,5,"OB Enviada à instituição bancária para pagamento","2025-09-09","2025-09-09","2025OB002038","2025NS014206","2025-09-09","2025-09-09",60903
40799,"2025-09-09","2025OP002030",405,5,"OB Enviada à instituição bancária para pagamento","2025-09-09","2025-09-09","2025OB002029","2025NS014198","2025-09-09","2025-09-09",60904
40292,"2025-09-09","2025OP001523",405,5,"OB Enviada à instituição bancária para pagamento","2025-09-09","2025-09-09","2025OB001523","2025NS013691","2025-09-09","2025-09-09",60893
